,apparentTemperature,cloudCover,dewPoint,humidity,icon,moonPhase,precipIntensity,precipIntensityError,precipProbability,precipProbabilityError,precipType,pressure,summary,sunriseTime,sunsetTime,temperature,temperatureError,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,71.68,,67.26,0.89,rain,0.93,0.0198,,0.38,,rain,1007.8,Drizzle,1503136943,1503186797,70.73,,1503115200,,,,4.41,0.77
0,68.79,,65.57,0.92,cloudy,0.93,0.0,,0.0,,,1007.33,Overcast,1503136943,1503186797,67.97,,1503136943,,,171.0,1.79,0.45
0,78.53,,68.06,0.72,cloudy,0.93,0.0,,0.0,,,1008.19,Overcast,1503136943,1503186797,77.66,,1503158400,,,204.0,6.69,2.66
0,74.02,,62.58,0.68,partly-cloudy-night,0.93,0.0,,0.0,,,1008.2,Mostly Cloudy,1503136943,1503186797,73.74,,1503186797,,,263.0,5.88,1.92
0,65.66,,60.02,0.82,clear-night,0.96,0.0,,0.0,,,1010.01,Clear,1503223413,1503273099,65.53,,1503201600,,,156.0,1.49,0.24
0,66.04,,60.77,0.84,cloudy,0.96,0.0011,,0.12,,rain,1012.76,Overcast,1503223413,1503273099,65.82,,1503223413,,,,4.42,1.11
0,73.51,,58.24,0.59,partly-cloudy-day,0.96,0.0,,0.0,,,1016.09,Mostly Cloudy,1503223413,1503273099,73.51,,1503244800,,,311.0,7.89,2.92
0,71.64,,61.28,0.7,clear-night,0.96,0.0,,0.0,,,1016.64,Clear,1503223413,1503273099,71.49,,1503273099,,,239.0,2.11,0.38
0,63.5,,59.16,0.86,clear-night,0.0,0.0,,0.0,,,1018.8,Clear,1503309883,1503359400,63.41,,1503288000,,,155.0,1.51,0.15
0,62.33,,57.6,0.85,partly-cloudy-night,0.0,0.0,,0.0,,,1019.9,Partly Cloudy,1503309883,1503359400,62.33,,1503309883,,,169.0,3.66,1.08
0,81.7,,65.54,0.62,clear-day,0.0,0.0,,0.0,,,1018.99,Clear,1503309883,1503359400,79.74,,1503331200,,,187.0,8.86,2.5
0,76.53,,66.51,0.73,clear-night,0.0,0.0,,0.0,,,1016.1,Clear,1503309883,1503359400,75.82,,1503359400,,,181.0,4.02,1.51
0,70.56,,63.67,0.8,clear-night,0.04,0.0,,0.0,,,1016.29,Clear,1503396354,1503445700,70.08,,1503374400,,,198.0,3.41,1.41
0,67.64,,63.06,0.87,partly-cloudy-night,0.04,0.0,,0.0,,,1013.97,Partly Cloudy,1503396354,1503445700,67.15,,1503396354,,,184.0,3.8,1.22
0,85.55,,69.89,0.67,clear-day,0.04,0.0,,0.0,,,1009.19,Clear,1503396354,1503445700,81.82,,1503417600,,,173.0,14.3,5.19
0,71.62,,67.11,0.88,rain,0.04,0.0626,,0.74,,rain,1003.27,Light Rain,1503396354,1503445700,70.7,,1503445700,,,,7.98,2.31
0,70.27,,66.26,0.9,partly-cloudy-night,0.07,0.0004,,0.11,,rain,1002.3,Mostly Cloudy,1503482824,1503531999,69.41,,1503460800,,,,5.78,2.26
0,64.98,,56.18,0.73,partly-cloudy-night,0.07,0.0,,0.0,,,1005.58,Partly Cloudy,1503482824,1503531999,64.98,,1503482824,,,256.0,9.24,3.18
0,70.72,,53.52,0.55,partly-cloudy-day,0.07,0.0,,0.0,,,1007.8,Mostly Cloudy,1503482824,1503531999,70.72,,1503504000,,,262.0,11.48,4.13
0,65.97,,55.61,0.69,cloudy,0.07,0.0,,0.0,,,1009.06,Overcast,1503482824,1503531999,65.97,,1503531999,,,250.0,4.96,1.64
0,61.91,,54.25,0.76,partly-cloudy-night,0.1,0.0,,0.0,,,1010.1,Partly Cloudy,1503569294,1503618297,61.91,,1503547200,,,223.0,3.52,0.94
